stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
14325,137067,500 E / Joye St (NB),4307 S 500 E & Guest Ave,40.678173,-111.876949,,,,,,0
14326,137073,500 E / Malibu Dr (NB),500 E & 4221 S,40.679781,-111.8769,,,,,,0
14327,137065,500 E / 4200 S (NB),4179 S 500 E & Fox Point Ln,40.680962,-111.876956,,,,,,0
14328,137075,500 E / 4100 S (NB),4119 S 500 E & 4500 S,40.682231,-111.876932,,,,,,0
14329,137076,500 E / 4050 S (NB),4053 S 500 E & 4500 S,40.683639,-111.876931,,,,,,0
14330,137077,500 E / Delno Dr (NB),500 E & 3981 S,40.685144,-111.87692,,,,,,0
14331,137079,500 E / 3900 S (NB),3847 S 500 E,40.687879,-111.876927,,,,,,1
14332,137080,500 E / 3700 S (NB),500 E & 3717 S,40.690297,-111.876906,,,,,,1
14334,137082,500 E / Wendell Dr (NB),3589 S 500 E & 3790 S,40.693424,-111.876927,,,,,,0
14335,137083,500 E / Millcreek Way (NB),3491 S 500 E & 3500 S,40.695337,-111.87691,,,,,,0
14340,126269,900 S / 300 E (EB),316 E 900 S & Maywood Dr,40.749711,-111.882062,,,,,,0
14342,127006,University Village West (EB),1956 E Sunnyside Ave & S Foothill Dr,40.75069,-111.834549,,,,,,1
14349,137225,Highland Dr @ 3961 S,3961 S Highland Dr & E 3970 S,40.685437,-111.844387,,,,,,1
14350,137227,Highland Dr @ 3687 S,3687 Highland Dr & E Siggard Dr,40.690926,-111.846918,,,,,,1
14352,137229,Highland Dr @ 3525 S,3525 S Highland Dr & Millcreek Way,40.695191,-111.848952,,,,,,0
14354,137231,Highland Dr @ 3401 S,3401 S Highland Dr & Millcreek Way,40.697576,-111.849811,,,,,,0
14355,137233,Highland Dr @ 3233 S,3233 S Highland Dr & 3300 S,40.700671,-111.850885,,,,,,0
14356,137234,Highland Dr @ 3125 S,3125 S Highland Dr & Miller Ave,40.703061,-111.851748,,,,,,0
14357,137235,Highland Dr @ 3011 S,3011 S Highland Dr & 3010 S,40.705443,-111.852636,,,,,,1
14358,137236,Highland Dr @ 2907 S,2907 S Highland Dr & Zenith Ave,40.707693,-111.853424,,,,,,0
14359,137237,Highland Dr @ 2831 S,2831 S Highland Dr & Atkin Ave,40.709645,-111.854193,,,,,,0
14360,137238,Highland Dr @ 2745 S,2745 S Highland Dr & 2700 S,40.711647,-111.854895,,,,,,0
14367,126423,1100 E @ 1951 S,,40.727677,-111.859563,,,,,,1
14368,126424,1100 E @ 1885 S,,40.729117,-111.859562,,,,,,0
14369,126425,1100 E @ 1761 S,1761 S 1100 E & Wilson Ave,40.731996,-111.859563,,,,,,0
14375,126294,900 S / 500 E (EB),498 E 900 S & Maywood Dr,40.749708,-111.877063,,,,,,0
14376,126295,900 S / 600 E (EB),598 E 900 S & Maywood Dr,40.749691,-111.874211,,,,,,0
14377,126296,900 S / 700 E (EB),686 E 900 S & Maywood Dr,40.749662,-111.872117,,,,,,0
14378,126271,900 S / 800 E (EB),780 E 900 S & Maywood Dr,40.749705,-111.868602,,,,,,0
14380,126297,900 S / 1000 E (EB),900 S & 1003 E,40.749707,-111.862251,,,,,,1
14381,126298,900 S / 1100 E (EB),1085 E 900 S & Maywood Dr,40.749711,-111.859993,,,,,,1
14384,126272,1500 E @ 998 S,998 S 1500 E & 1800 E,40.747388,-111.848056,,,,,,0
14385,126273,1500 E @ 1080 S,1080 S 1500 E & 1800 E,40.745453,-111.84806,,,,,,0
14386,126274,1500 E @ 1164 S,1164 S 1500 E & 1800 E,40.74361,-111.848074,,,,,,0
14387,126275,1500 E @ 1298 S,1298 S 1500 E & 1800 E,40.741914,-111.848068,,,,,,0
14388,126276,1500 E @ 1378 S,1378 S 1500 E & 1800 E,40.740124,-111.848026,,,,,,0
